source,structure,design_U_W_m2K,structure_description,detached_house,terraced_house,apartment_block,office_building,service_building,communal_building,structure_notes
Default_2010,DH_R_timber,0.09,"Timber frame, 400 mm mineral wool insulation, ventilated timber roof truss, roofing",1,,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,DH_BF_concrete,0.17,"Concrete-slab-on-grade, 100 mm bottom expanded polystyrene insulation",1,,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,DH_PW_timber,,"Timber frame light partition wall, mineral wool soundproofing, double construction board finish",1,1,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,TH_EW_timber,0.17,"Timber frame wall, 225 mm mineral wool insulation, board finish",,1,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,TH_R_timber,0.09,"Timber frame, 400 mm mineral wool insulation, ventlated timber roof truss, roofing",,1,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,TH_BF_concrete,0.17,"Concrete slab-on-grade, 100 mm bottom expanded polystyrene insulation",,1,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,TH_PW_timber,,Load-bearing timber partition wall,,1,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,AB_EW_concrete,0.17,"Reinforced concrete wall, 200 mm mineral wool insulation, concrete surface",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,AB_SF_concrete,,Reinforced concrete slab,,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,AB_SF_concrete_b,,Hollow-core concrete slab,,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,AB_R_concrete,0.09,"Reinforced concrete slab, 400 mm mineral wool insulation, ventilated timber roof truss",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,AB_R_concrete_b,0.09,"Hollow-core concrete slab, 400 mm mineral wool insulation, ventilated timber roof supports",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,AB_BF_concrete,0.17,"Concrete slab-on-grade, 75 mm bottom expanded polystyrene insulation",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,AB_BF_concrete_b,0.17,"Concrete slab-on-grade, 75 mm bottom expanded polystyrene insulation",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2010,AB_PW_concrete,,"Reinforced concrete partition walls, thickness varies between load-bearing and light walls",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,DH_EW_timber,0.17,"Timber frame wall, 225 mm mineral wool insulation, board finish",1,,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,DH_SF_timber,,"Timber frame separating floor, mineral wool insulation, construction board finish",1,1,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,DH_R_timber,0.09,"Timber frame, 400 mm mineral wool insulation, ventilated timber roof truss, roofing",1,,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,DH_BF_concrete,0.17,"Concrete-slab-on-grade, 100 mm bottom expanded polystyrene insulation",1,,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,DH_PW_timber,,"Timber frame light partition wall, mineral wool soundproofing, double construction board finish",1,1,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,TH_EW_timber,0.17,"Timber frame wall, 225 mm mineral wool insulation, board finish",,1,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,TH_R_timber,0.09,"Timber frame, 400 mm mineral wool insulation, ventlated timber roof truss, roofing",,1,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,TH_BF_concrete,0.17,"Concrete slab-on-grade, 100 mm bottom expanded polystyrene insulation",,1,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,TH_PW_timber,,Load-bearing timber partition wall,,1,,,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,AB_EW_concrete,0.17,"Reinforced concrete wall, 200 mm mineral wool insulation, concrete surface",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,AB_SF_concrete,,Reinforced concrete slab,,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,AB_SF_concrete_b,,Hollow-core concrete slab,,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,AB_R_concrete,0.09,"Reinforced concrete slab, 400 mm mineral wool insulation, ventilated timber roof truss",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,AB_R_concrete_b,0.09,"Hollow-core concrete slab, 400 mm mineral wool insulation, ventilated timber roof supports",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,AB_BF_concrete,0.17,"Concrete slab-on-grade, 75 mm bottom expanded polystyrene insulation",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,AB_BF_concrete_b,0.17,"Concrete slab-on-grade, 75 mm bottom expanded polystyrene insulation",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
Default_2012,AB_PW_concrete,,"Reinforced concrete partition walls, thickness varies between load-bearing and light walls",,,1,1,1,1,Based on earlier examples with insulation thicknesses tweaked to meet the requirements.
